Initial positions: (61, 53, 53), Number of turns: None
Initial positions: (58, 37, 19), Number of turns: 311.2326775902556
Initial positions: (53, 45, 58), Number of turns: 274.36152226578713
Initial positions: (56, 7, 16), Number of turns: 291.9421245726625
Initial positions: (28, 41, 53), Number of turns: 236.10634066030502
Initial positions: (27, 42, 51), Number of turns: 255.63551865889062
Initial positions: (24, 41, 56), Number of turns: None
Initial positions: (29, 39, 54), Number of turns: 291.20439557122074
Initial positions: (30, 38, 53), Number of turns: 276.08875384557047
Initial positions: (32, 32, 50), Number of turns: None
Initial positions: (59, 35, 35), Number of turns: None
Initial positions: (62, 44, 53), Number of turns: 248.64633518312712
Initial positions: (61, 45, 55), Number of turns: 256.3201123595259
Initial positions: (62, 44, 57), Number of turns: 272.02941017470886
Initial positions: (64, 47, 51), Number of turns: None
Initial positions: (28, 49, 48), Number of turns: 280.178514522438
Initial positions: (60, 43, 53), Number of turns: 253.17977802344325
Initial positions: (20, 30, 5), Number of turns: 284.80652309945435
Initial positions: (40, 52, 2), Number of turns: None
Initial positions: (22, 11, 47), Number of turns: None
Initial positions: (9, 7, 51), Number of turns: 260.0
Initial positions: (33, 5, 12), Number of turns: None
Initial positions: (21, 41, 42), Number of turns: 272.9468812791236
Initial positions: (50, 29, 18), Number of turns: 261.72504656604804
Initial positions: (46, 16, 56), Number of turns: 290.3061985214921
Initial positions: (36, 0, 9), Number of turns: None
Initial positions: (1, 58, 64), Number of turns: None
Initial positions: (1, 20, 28), Number of turns: None
Initial positions: (61, 30, 24), Number of turns: None
Initial positions: (53, 43, 20), Number of turns: 266.8332812825267
Initial positions: (62, 24, 37), Number of turns: None
Initial positions: (11, 38, 50), Number of turns: None
Initial positions: (50, 9, 34), Number of turns: 262.63756186044674
Initial positions: (12, 23, 18), Number of turns: None
Initial positions: (28, 49, 62), Number of turns: 246.6635135158826
Initial positions: (25, 50, 64), Number of turns: None
Initial positions: (9, 62, 56), Number of turns: 294.86011751337276
Initial positions: (28, 49, 55), Number of turns: 278.4113663268797
Initial positions: (41, 35, 42), Number of turns: 264.76404589747455
Initial positions: (53, 44, 60), Number of turns: 280.0
Initial positions: (17, 28, 46), Number of turns: 280.713376952364
Initial positions: (32, 16, 30), Number of turns: 260.0
Initial positions: (29, 14, 30), Number of turns: 262.48809496813374
Initial positions: (16, 2, 38), Number of turns: 269.65327533705204
Initial positions: (33, 8, 53), Number of turns: 261.72504656604804
Initial positions: (8, 17, 61), Number of turns: 291.20439557122074
Initial positions: (39, 5, 50), Number of turns: 265.41305337153256
Initial positions: (27, 56, 40), Number of turns: 270.7397274136177
Initial positions: (44, 33, 15), Number of turns: 264.15542564937033
Initial positions: (5, 25, 24), Number of turns: None
Initial positions: (16, 13, 1), Number of turns: None
Initial positions: (36, 19, 8), Number of turns: 280.3175977351404
Initial positions: (23, 5, 25), Number of turns: None
Initial positions: (57, 38, 34), Number of turns: 304.05321179030494
Initial positions: (48, 27, 19), Number of turns: 260.76809620810593
Initial positions: (32, 21, 46), Number of turns: 261.3642839027552
Initial positions: (19, 12, 59), Number of turns: None
Initial positions: (45, 27, 13), Number of turns: 285.03535850837875
Initial positions: (31, 21, 46), Number of turns: 240.0
Initial positions: (36, 16, 49), Number of turns: 279.5465773355131
Initial positions: (31, 9, 44), Number of turns: 300.2960021378906
Initial positions: (24, 18, 28), Number of turns: None
Initial positions: (40, 22, 53), Number of turns: 272.02941017470886
Initial positions: (20, 31, 32), Number of turns: 264.15542564937033
Initial positions: (36, 25, 21), Number of turns: None
Initial positions: (64, 34, 36), Number of turns: None
Initial positions: (48, 46, 5), Number of turns: 301.4962686336267
Initial positions: (26, 39, 58), Number of turns: 260.0
Initial positions: (26, 40, 58), Number of turns: 268.32815729997475
Initial positions: (30, 54, 62), Number of turns: 284.42925306655786
Initial positions: (34, 47, 52), Number of turns: 301.4962686336267
Initial positions: (22, 1, 56), Number of turns: None
Initial positions: (13, 36, 63), Number of turns: 260.76809620810593
Initial positions: (42, 64, 48), Number of turns: None
Initial positions: (38, 27, 59), Number of turns: 268.4117897932205
Initial positions: (3, 52, 57), Number of turns: 291.20439557122074
Initial positions: (28, 15, 54), Number of turns: 224.72205054244233
Initial positions: (29, 14, 55), Number of turns: 310.4834939252005
Initial positions: (33, 10, 52), Number of turns: 240.20824298928628
Initial positions: (34, 10, 51), Number of turns: 243.3105012119288
Initial positions: (28, 11, 51), Number of turns: None
Initial positions: (33, 7, 54), Number of turns: 280.3175977351404
Initial positions: (34, 3, 45), Number of turns: 272.02941017470886
Initial positions: (30, 15, 51), Number of turns: 262.1276194909648
Initial positions: (24, 10, 43), Number of turns: None
Initial positions: (27, 20, 61), Number of turns: 280.32330548850194
Initial positions: (35, 6, 54), Number of turns: 272.3528756962188
Initial positions: (18, 12, 48), Number of turns: None
Initial positions: (38, 8, 47), Number of turns: 295.4657340538831
Initial positions: (22, 10, 50), Number of turns: 178.88543819998318
Initial positions: (21, 14, 50), Number of turns: 278.4113663268797
Initial positions: (31, 17, 42), Number of turns: 300.0
Initial positions: (25, 4, 64), Number of turns: None
Initial positions: (29, 11, 52), Number of turns: None
Initial positions: (22, 19, 56), Number of turns: 280.07943319708426
Initial positions: (27, 9, 60), Number of turns: 294.0171574925518
Initial positions: (32, 13, 49), Number of turns: 250.59928172283335
Initial positions: (33, 12, 49), Number of turns: None
Initial positions: (31, 16, 53), Number of turns: 228.0350850198276
Initial positions: (24, 16, 40), Number of turns: None
Initial positions: (31, 18, 53), Number of turns: 292.42586906770066
Initial positions: (28, 22, 55), Number of turns: 272.02941017470886
Initial positions: (26, 60, 46), Number of turns: 272.0294101747089
Initial positions: (37, 10, 57), Number of turns: 286.35642126552705
Initial positions: (34, 15, 52), Number of turns: 272.02941017470886
Initial positions: (30, 7, 54), Number of turns: 260.76809620810593
Initial positions: (31, 13, 49), Number of turns: 260.0
Initial positions: (32, 20, 50), Number of turns: 260.0
Initial positions: (35, 13, 47), Number of turns: 280.713376952364
Initial positions: (28, 17, 58), Number of turns: 295.4657340538831
Initial positions: (23, 15, 52), Number of turns: 272.9468812791236
Initial positions: (41, 24, 44), Number of turns: None
Initial positions: (25, 10, 51), Number of turns: None
Initial positions: (29, 8, 40), Number of turns: 281.60255680657446
Initial positions: (32, 18, 54), Number of turns: 282.842712474619
Initial positions: (37, 12, 48), Number of turns: None
Initial positions: (9, 7, 56), Number of turns: 281.977934597727
Initial positions: (15, 14, 53), Number of turns: 252.98221281347034
Initial positions: (13, 14, 53), Number of turns: 285.03535850837875
Initial positions: (19, 11, 60), Number of turns: None
Initial positions: (27, 42, 50), Number of turns: 246.67000000000002
Initial positions: (27, 42, 45), Number of turns: 250.0
Initial positions: (30, 41, 45), Number of turns: 282.842712474619
Initial positions: (26, 44, 51), Number of turns: 250.59928172283335
Initial positions: (22, 49, 46), Number of turns: 286.67
Initial positions: (27, 32, 57), Number of turns: 272.02941017470886
Initial positions: (29, 42, 49), Number of turns: 280.178514522438
Initial positions: (34, 54, 47), Number of turns: 301.84447800150326
Initial positions: (32, 37, 50), Number of turns: 252.98221281347034
Initial positions: (24, 45, 55), Number of turns: None
Initial positions: (28, 49, 44), Number of turns: 217.9717617032078
Initial positions: (25, 57, 41), Number of turns: None
Initial positions: (27, 48, 38), Number of turns: 260.34148516899876
Initial positions: (28, 53, 45), Number of turns: 310.0
Initial positions: (20, 43, 43), Number of turns: None
Initial positions: (30, 46, 62), Number of turns: 286.35642126552705
Initial positions: (33, 51, 48), Number of turns: 260.76809620810593
Initial positions: (35, 16, 51), Number of turns: 272.9468812791236
